Thématiques,Critères,Page d'Accueil|https://accessibilite.numerique.gouv.fr/,Page Accessibilité|https://accessibilite.numerique.gouv.fr/infos/accessibilite,Page Mentions légales|https://accessibilite.numerique.gouv.fr/infos/mentions-legales,Page Plan du site|https://accessibilite.numerique.gouv.fr/infos/plan-du-site,Page Nouveautés|https://accessibilite.numerique.gouv.fr/infos/nouveautes/,Page Critères et tests|https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/,Page Glossaire|https://accessibilite.numerique.gouv.fr/methode/glossaire/ ,Page Champ d’application|https://accessibilite.numerique.gouv.fr/obligations/champ-application/,Page Environnement de test|https://accessibilite.numerique.gouv.fr/methode/environnement-de-test/ ,Page Kits d’audits|https://accessibilite.numerique.gouv.fr/ressources/kit-audit/,,,,,
11,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,5,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,6,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,7,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,8,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,9,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,10,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,11,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,12,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
11,13,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,5,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,6,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,7,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,8,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,9,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,10,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
12,11,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,1,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,2,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,3,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,4,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,5,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,6,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,7,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,8,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,9,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,10,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,11,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
13,12,nt,nt,nt,nt,nt,nt,nt,nt,nt,nt,,,,,
