Thématiques,Critères,Accueil|https://metiers.numerique.gouv.fr/,Mentions légales|https://metiers.numerique.gouv.fr/mentions-legales,Découvrez les emplois|https://metiers.numerique.gouv.fr/emplois,Détail d'une page d'offre d'emploi|https://metiers.numerique.gouv.fr/emploi/ingenieure-devops-24d627c1-418f-4dc4-9f96-5367b4446859,Détail d'une institution|https://metiers.numerique.gouv.fr/institution/dnum-des-ministeres-sociaux-travail-et-emploi-14f741d6-9042-49ab-b7aa-af5be60b9ced,Données personnelles|https://metiers.numerique.gouv.fr/donnees-personnelles-et-cookies,,
7,1,"nc|Le bouton du menu en version mobile ne marche pas (les valeurs d'aria-controls et aria-haspopup sont erronées). | Reprendre le modèle présent sur le Design System de l'État https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789853/Navigation+principale+-+Main+navigation | Les boutons ""Découvrir"" et ""Candidater"" ne sont pas explicites, ajouter un texte caché visuellement. | Le composant d'interface du chat n'est pas lu par les TA parce qu'il n'y a pas de nom accessible. | L'intitulé du bouton ""Fermer"" de la modale des paramètres d'affichage est peu explicite.","nc|Le bouton du menu en version mobile ne marche pas (les valeurs d'aria-controls et aria-haspopup sont erronées). | Reprendre le modèle présent sur le Design System de l'État https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789853/Navigation+principale+-+Main+navigation  | Le composant d'interface du chat n'est pas lu par les TA parce qu'il n'y a pas de nom accessible. | L'intitulé du bouton ""Fermer"" de la modale des paramètres d'affichage est peu explicite.","nc|Le bouton du menu en version mobile ne marche pas (les valeurs d'aria-controls et aria-haspopup sont erronées). | Reprendre le modèle présent sur le Design System de l'État https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789853/Navigation+principale+-+Main+navigation | Le composant d'interface du chat n'est pas lu par les TA parce qu'il n'y a pas de nom accessible. | L'intitulé du bouton ""Fermer"" de la modale des paramètres d'affichage est peu explicite. | Le fonctionnement de la recherche n'est pas exposé aux TA.","nc| Le bouton du menu en version mobile ne marche pas (les valeurs d'aria-controls et aria-haspopup sont erronées). | Reprendre le modèle présent sur le Design System de l'État https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789853/Navigation+principale+-+Main+navigation |Le composant d'interface du chat n'est pas lu par les TA parce qu'il n'y a pas de nom accessible. | L'intitulé du bouton ""Fermer"" de la modale des paramètres d'affichage est peu explicite.","nc|Le bouton du menu en version mobile ne marche pas (les valeurs d'aria-controls et aria-haspopup sont erronées). | Le composant d'interface du chat n'est pas lu par les TA parce qu'il n'y a pas de nom accessible. | L'intitulé du bouton ""Fermer"" de la modale des paramètres d'affichage est peu explicite.","nc| Le bouton du menu en version mobile ne marche pas (les valeurs d'aria-controls et aria-haspopup sont erronées). | Reprendre le modèle présent sur le Design System de l'État https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789853/Navigation+principale+-+Main+navigation | Le composant d'interface du chat n'est pas lu par les TA parce qu'il n'y a pas de nom accessible.  |  L'intitulé du bouton ""Fermer"" de la modale des paramètres d'affichage est peu explicite.",,
7,2,na,na,na,na,na,na,,
7,3,nc|Le bouton du menu en version mobile n'est pas contrôlable au clavier|Le composant du chat n’est pas atteignable au clavier,nc| Le bouton du menu en version mobile n'est pas contrôlable au clavier|Le composant du chat n’est pas atteignable au clavier,nc| Le bouton du menu en version mobile n'est pas contrôlable au clavier|Le composant du chat n’est pas atteignable au clavier,nc| Le bouton du menu en version mobile n'est pas contrôlable au clavier|Le composant du chat n’est pas atteignable au clavier,nc| Le bouton du menu en version mobile n'est pas contrôlable au clavier|Le composant du chat n’est pas atteignable au clavier,nc| Le bouton du menu en version mobile n'est pas contrôlable au clavier|Le composant du chat n’est pas atteignable au clavier,,
7,4,na,na,nc| L'utilisateur n'est pas notifié du nombre de résultats disponibles après avoir saisi du contenu dans le champ de recherche,na,na,na,,
7,5,na,na,na,na,na,na,,
8,1,c,c,c,c,c,c,,
8,2,"nc | Présence de deux attributs _id_ dans le champ de formulaire `<input class=""fr-input"">`| Présence des attributs _required_ et _type_ en double dans le même champ de formulaire `<input class=""fr-input"">`",nc | Imbrication d'éléments HTML incorrects. | L'attribut `aria-controls`doit pointer un élément dans la même page.,"nc|L'élément `<acronym>` est obsolète, remplacer par `<abbr>`, mauvaise imbrication d'éléments HTML ",nc| Mauvaise imbrication des éléments HTML. | L'attribut `aria-controls`doit pointer un élément dans la même page.,c,nc | Imbrication d'éléments HTML incorrects. | L'attribut `aria-controls`doit pointer un élément dans la même page.,,
8,3,c,c,c,c,c,c,,
8,4,c,c,c,c,c,c,,
8,5,c,c,c,c,c,c,,
