Thématiques,Critères,Accueil|https://design.numerique.gouv.fr/,Contact|https://design.numerique.gouv.fr/contact/,Accessibilité|https://design.numerique.gouv.fr/misc/accessibilite/,Mentions légales|https://design.numerique.gouv.fr/misc/mentions-legales/,Accessibilité numérique|https://design.numerique.gouv.fr/accessibilite-numerique/		,Plan du site|https://design.numerique.gouv.fr/misc/plan-du-site/		,Accompagnement|https://design.numerique.gouv.fr/accompagnement/,Articles|https://design.numerique.gouv.fr/articles/,L'équipe|https://design.numerique.gouv.fr/a-propos/,Page des rôles-clés|https://design.numerique.gouv.fr/accessibilite-numerique/roles-cles/,Page détail d'un rôle-clé|https://design.numerique.gouv.fr/accessibilite-numerique/roles-cles/developer/,Page Commando UX|https://design.numerique.gouv.fr/commando-ux/,Page article|https://design.numerique.gouv.fr/articles/2021-03-21-evenement-design/,Newsletter|https://design.numerique.gouv.fr/newsletter,Le jeu de l'OAA|https://design.numerique.gouv.fr/accessibilite-numerique/jeu-de-oaa/
8,7,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
8,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
8,9,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
8,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
9,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
9,3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
9,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,4,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,5,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10,7,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,8,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,9,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,10,c,c,c,c,c,c,c,c,c,c,c,c,na,c,c
10,11,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,12,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
10,13,na,na,c,c,c,c,c,c,c,c,c,c,c,c,c
10,14,na,na,na,na,na,na,na,na,na,na,na,na,c,na,na
11,1,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,2,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
11,4,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
11,6,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,7,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
11,9,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,10,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,11,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
11,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
11,13,na,na,na,na,na,na,na,na,na,na,na,na,na,c,na
12,1,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,4,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,5,na,na,na,na,na,na,na,na,na,na,c,na,na,na,na
12,6,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,7,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,8,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,9,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
12,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
12,11,c,c,na,c,c,na,c,c,c,c,c,c,c,c,c
13,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
13,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,c
13,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,9,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
13,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
13,11,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
13,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
